name,title,company_name,industry,country,email,phone,linkedin_profile_url,general_website_url,google_business_profile_website
Charlie Jones,HR Director,Company 14 Software,software,Uk,charlie.jones@company14software.com,+1-996-347-7376,https://www.linkedin.com/in/charliejones23,http://www.company14software.com,
Alice Williams,CEO,Company 66 Software,software,Uk,alice.williams@company66software.com,+1-652-654-3437,https://www.linkedin.com/in/alicewilliams10,http://www.company66software.com,
Charlie Williams,Software Engineer,Company 71 Software,software,Uk,charlie.williams@company71software.com,+1-100-228-8784,https://www.linkedin.com/in/charliewilliams58,http://www.company71software.com,
Alice Williams,HR Director,Company 90 Software,software,Uk,alice.williams@company90software.com,+1-545-775-7056,https://www.linkedin.com/in/alicewilliams67,http://www.company90software.com,
Charlie Smith,Marketing Manager,Company 51 Software,software,Uk,charlie.smith@company51software.com,+1-329-928-6580,https://www.linkedin.com/in/charliesmith11,,
Eve Jones,Software Engineer,Company 72 Software,software,Uk,eve.jones@company72software.com,+1-551-969-8682,https://www.linkedin.com/in/evejones69,,
Diana Williams,CEO,Company 35 Software,software,Uk,diana.williams@company35software.com,+1-286-796-1894,https://www.linkedin.com/in/dianawilliams13,http://www.company35software.com,
Charlie Jones,Sales Representative,Company 44 Software,software,Uk,charlie.jones@company44software.com,+1-772-894-7592,https://www.linkedin.com/in/charliejones64,http://www.company44software.com,
Diana Smith,CEO,Company 79 Software,software,Uk,diana.smith@company79software.com,+1-660-106-5221,https://www.linkedin.com/in/dianasmith40,,
Eve Williams,Sales Representative,Company 88 Software,software,Uk,eve.williams@company88software.com,+1-610-118-6241,https://www.linkedin.com/in/evewilliams16,http://www.company88software.com,
Alice Jones,HR Director,Company 44 Software,software,Uk,alice.jones@company44software.com,+1-638-851-2798,https://www.linkedin.com/in/alicejones55,http://www.company44software.com,
Alice Smith,HR Director,Company 53 Software,software,Uk,alice.smith@company53software.com,+1-158-829-2672,https://www.linkedin.com/in/alicesmith2,http://www.company53software.com,
Charlie Jones,CEO,Company 2 Software,software,Uk,charlie.jones@company2software.com,+1-920-651-1804,https://www.linkedin.com/in/charliejones73,,
