name,title,company_name,industry,country,email,phone,linkedin_profile_url,general_website_url,google_business_profile_website
Diana Davis,Software Engineer,Company 50 Software,software,Usa,diana.davis@company50software.com,+1-113-127-2134,https://www.linkedin.com/in/dianadavis79,http://www.company50software.com,
Diana Williams,Software Engineer,Company 11 Software,software,Usa,diana.williams@company11software.com,+1-117-398-1735,https://www.linkedin.com/in/dianawilliams19,,
Diana Smith,CEO,Company 59 Software,software,Usa,diana.smith@company59software.com,+1-160-447-7061,https://www.linkedin.com/in/dianasmith60,http://www.company59software.com,
Diana Jones,Software Engineer,Company 85 Software,software,Usa,diana.jones@company85software.com,+1-192-870-1376,https://www.linkedin.com/in/dianajones39,http://www.company85software.com,
Bob Williams,HR Director,Company 99 Software,software,Usa,bob.williams@company99software.com,+1-822-277-9885,https://www.linkedin.com/in/bobwilliams57,,
Alice Smith,CEO,Company 39 Software,software,Usa,alice.smith@company39software.com,+1-775-457-6130,https://www.linkedin.com/in/alicesmith24,,
Charlie Davis,CEO,Company 86 Software,software,Usa,charlie.davis@company86software.com,+1-447-950-3438,https://www.linkedin.com/in/charliedavis15,,
Charlie Jones,Software Engineer,Company 24 Software,software,Usa,charlie.jones@company24software.com,+1-533-347-3821,https://www.linkedin.com/in/charliejones12,http://www.company24software.com,
Bob Williams,Marketing Manager,Company 66 Software,software,Usa,bob.williams@company66software.com,+1-438-436-4011,https://www.linkedin.com/in/bobwilliams73,,
Eve Smith,Marketing Manager,Company 65 Software,software,Usa,eve.smith@company65software.com,+1-555-682-2784,https://www.linkedin.com/in/evesmith82,,
Eve Brown,Marketing Manager,Company 33 Software,software,Usa,eve.brown@company33software.com,+1-559-444-2768,,http://www.company33software.com,
Alice Jones,HR Director,Company 41 Software,software,Usa,alice.jones@company41software.com,+1-205-983-2469,https://www.linkedin.com/in/alicejones68,http://www.company41software.com,
Bob Smith,Sales Representative,Company 36 Software,software,Usa,bob.smith@company36software.com,+1-310-885-7733,https://www.linkedin.com/in/bobsmith81,http://www.company36software.com,
